,DAY,OFNS_DESC,COUNT
1177,21, INTOXICATED & IMPAIRED DRIVING,2398
1755,31, MISCELLANEOUS PENAL LAW,2397
1290,23, INTOXICATED & IMPAIRED DRIVING,2395
301,6, CRIMINAL TRESPASS,2386
760,14, CRIMINAL TRESPASS,2379
241,5, CRIMINAL TRESPASS,2379
1405,25, INTOXICATED & IMPAIRED DRIVING,2368
1121,20, INTOXICATED & IMPAIRED DRIVING,2368
1062,19, INTOXICATED & IMPAIRED DRIVING,2363
603,11, INTOXICATED & IMPAIRED DRIVING,2360
414,8, CRIMINAL TRESPASS,2357
69,2, CRIMINAL TRESPASS,2350
487,9, INTOXICATED & IMPAIRED DRIVING,2348
704,13, CRIMINAL TRESPASS,2342
183,4, CRIMINAL TRESPASS,2336
817,15, CRIMINAL TRESPASS,2336
356,7, CRIMINAL TRESPASS,2332
85,2, INTOXICATED & IMPAIRED DRIVING,2320
545,10, INTOXICATED & IMPAIRED DRIVING,2319
875,16, CRIMINAL TRESPASS,2315
1737,31, DANGEROUS WEAPONS,2312
142,3, INTOXICATED & IMPAIRED DRIVING,2311
1461,26, INTOXICATED & IMPAIRED DRIVING,2307
20,1, FRAUDS,2279
1161,21, CRIMINAL TRESPASS,2270
1348,24, INTOXICATED & IMPAIRED DRIVING,2258
1046,19, CRIMINAL TRESPASS,2250
1575,28, INTOXICATED & IMPAIRED DRIVING,2249
1215,22, CRIMINAL TRESPASS,2246
1104,20, CRIMINAL TRESPASS,2243
11,1, CRIMINAL TRESPASS,2239
989,18, CRIMINAL TRESPASS,2238
932,17, CRIMINAL TRESPASS,2234
1273,23, CRIMINAL TRESPASS,2209
1559,28, CRIMINAL TRESPASS,2126
1499,27, CRIMINAL TRESPASS,2122
1634,29, INTOXICATED & IMPAIRED DRIVING,2116
1147,20, THEFT-FRAUD,2091
1695,30, INTOXICATED & IMPAIRED DRIVING,2079
1332,24, CRIMINAL TRESPASS,2068
1444,26, CRIMINAL TRESPASS,2059
1389,25, CRIMINAL TRESPASS,2040
58,1, VEHICLE AND TRAFFIC LAWS,2040
571,10, THEFT-FRAUD,2030
403,7, VEHICLE AND TRAFFIC LAWS,2006
748,13, VEHICLE AND TRAFFIC LAWS,2003
1606,28, VEHICLE AND TRAFFIC LAWS,1991
1747,31, GRAND LARCENY OF MOTOR VEHICLE,1978
977,17, VEHICLE AND TRAFFIC LAWS,1978
1262,22, VEHICLE AND TRAFFIC LAWS,1974
1150,20, VEHICLE AND TRAFFIC LAWS,1964
1319,23, VEHICLE AND TRAFFIC LAWS,1957
1093,19, VEHICLE AND TRAFFIC LAWS,1956
1035,18, VEHICLE AND TRAFFIC LAWS,1954
1618,29, CRIMINAL TRESPASS,1951
921,16, VEHICLE AND TRAFFIC LAWS,1943
805,14, VEHICLE AND TRAFFIC LAWS,1943
634,11, VEHICLE AND TRAFFIC LAWS,1939
1203,21, VEHICLE AND TRAFFIC LAWS,1935
693,12, VEHICLE AND TRAFFIC LAWS,1929
653,12, FORGERY,1922
1760,31, OFFENSES AGAINST PUBLIC ADMINI,1920
863,15, VEHICLE AND TRAFFIC LAWS,1913
110,2, THEFT-FRAUD,1909
574,10, VEHICLE AND TRAFFIC LAWS,1908
1378,24, VEHICLE AND TRAFFIC LAWS,1906
459,8, VEHICLE AND TRAFFIC LAWS,1897
229,4, VEHICLE AND TRAFFIC LAWS,1895
289,5, VEHICLE AND TRAFFIC LAWS,1889
536,10, FORGERY,1885
77,2, FORGERY,1872
1488,26, VEHICLE AND TRAFFIC LAWS,1871
824,15, FORGERY,1869
1548,27, VEHICLE AND TRAFFIC LAWS,1869
1112,20, FORGERY,1868
286,5, THEFT-FRAUD,1867
1432,25, VEHICLE AND TRAFFIC LAWS,1854
802,14, THEFT-FRAUD,1853
711,13, FORGERY,1852
171,3, VEHICLE AND TRAFFIC LAWS,1851
248,5, FORGERY,1846
940,17, FORGERY,1842
516,9, VEHICLE AND TRAFFIC LAWS,1841
1724,30, VEHICLE AND TRAFFIC LAWS,1839
344,6, VEHICLE AND TRAFFIC LAWS,1836
